Fecha,Hora,WS
2021-01-23,16,2.66
2021-01-23,17,2.362
2021-01-23,18,1.824
2021-01-23,19,1.025
2021-01-23,20,0.176
2021-01-23,21,0.38
2021-01-23,22,0.511
2021-01-23,23,0.401
2021-01-24,0,0.117
2021-01-24,1,0.227
2021-01-24,2,0.313
2021-01-24,3,0.099
2021-01-24,4,0.0
2021-01-24,5,0.005
2021-01-24,6,0.013
2021-01-24,7,0.187
2021-01-24,8,0.132
2021-01-24,9,0.178
2021-01-24,10,0.425
2021-01-24,11,0.751
2021-01-24,12,0.641
2021-01-24,13,1.518
2021-01-24,14,1.423
2021-01-24,15,2.383
2021-01-24,16,1.916
2021-01-24,17,1.85
2021-01-24,18,1.383
2021-01-24,19,0.883
2021-01-24,20,0.492
2021-01-24,21,0.302
2021-01-24,22,0.291
2021-01-24,23,0.361
2021-01-25,0,0.862
2021-01-25,1,0.863
2021-01-25,2,1.135
2021-01-25,3,0.551
2021-01-25,4,0.052
2021-01-25,5,0.21
2021-01-25,6,0.135
2021-01-25,7,0.807
2021-01-25,8,0.258
2021-01-25,9,0.317
2021-01-25,10,1.395
2021-01-25,11,1.388
2021-01-25,12,1.639
2021-01-25,13,2.362
2021-01-25,14,2.082
2021-01-25,15,1.983
2021-01-25,16,1.973
2021-01-25,17,1.994
2021-01-25,18,1.587
2021-01-25,19,0.831
2021-01-25,20,0.483
2021-01-25,21,0.302
2021-01-25,22,0.267
2021-01-25,23,0.208
2021-01-26,0,0.993
2021-01-26,1,0.724
2021-01-26,2,0.564
2021-01-26,3,0.371
2021-01-26,4,0.306
2021-01-26,5,0.14
2021-01-26,6,0.175
2021-01-26,7,0.44
2021-01-26,8,0.342
2021-01-26,9,0.044
2021-01-26,10,0.423
2021-01-26,11,1.165
2021-01-26,12,1.631
2021-01-26,13,1.826
2021-01-26,14,1.581
2021-01-26,15,1.673
2021-01-26,16,1.45
2021-01-26,17,1.613
2021-01-26,18,1.288
2021-01-26,19,0.609
2021-01-26,20,0.495
2021-01-26,21,0.568
2021-01-26,22,0.424
2021-01-26,23,0.251
2021-01-27,0,0.334
2021-01-27,1,0.176
2021-01-27,2,0.097
2021-01-27,3,0.219
2021-01-27,4,0.269
2021-01-27,5,0.055
2021-01-27,6,0.218
2021-01-27,7,0.49
2021-01-27,8,0.603
2021-01-27,9,0.57
2021-01-27,10,1.783
2021-01-27,11,2.043
2021-01-27,12,2.388
2021-01-27,13,2.755
2021-01-27,14,2.11
2021-01-27,15,2.167
2021-01-27,16,2.315
2021-01-27,17,2.211
2021-01-27,18,0.895
2021-01-27,19,0.792
2021-01-27,20,1.767
2021-01-27,21,2.047
2021-01-27,22,1.963
2021-01-27,23,1.632
2021-01-28,0,1.36
2021-01-28,10,1.778
2021-01-28,11,1.45
2021-01-28,12,1.323
2021-01-28,13,1.472
2021-01-28,14,1.524
2021-01-28,15,1.425
2021-01-28,16,1.644
2021-01-28,17,1.294
2021-01-28,18,0.989
2021-01-28,19,0.895
2021-01-28,20,1.8
2021-01-28,21,1.621
2021-01-28,22,1.456
2021-01-28,23,1.263
2021-01-29,0,1.787
2021-01-29,1,1.576
2021-01-29,2,1.244
2021-01-29,3,0.908
2021-01-29,4,0.504
2021-01-29,5,0.573
2021-01-29,6,0.608
2021-01-29,7,0.772
2021-01-29,8,0.967
2021-01-29,9,1.504
2021-01-29,10,1.776
2021-01-29,11,1.898
2021-01-29,12,1.59
2021-01-29,13,1.744
2021-01-29,14,1.317
2021-01-29,15,1.44
2021-01-29,16,1.053
2021-01-29,17,1.175
2021-01-29,18,1.964
2021-01-29,19,1.408
2021-01-29,20,0.716
2021-01-29,21,0.727
2021-01-29,22,0.32
2021-01-29,23,0.917
2021-01-30,0,0.455
2021-01-30,1,0.712
2021-01-30,2,0.446
2021-01-30,3,0.319
2021-01-30,4,0.612
2021-01-30,5,0.189
2021-01-30,6,0.052
2021-01-30,7,0.346
2021-01-30,8,0.514
2021-01-30,9,0.66
2021-01-30,10,1.337
2021-01-30,11,1.413
2021-01-30,12,1.394
2021-01-30,13,1.39
2021-01-30,14,1.159
2021-01-30,15,1.071
2021-01-30,16,1.005
2021-01-30,17,1.187
2021-01-30,18,0.843
2021-01-30,19,0.245
2021-01-30,20,0.402
2021-01-30,21,0.23
2021-01-30,22,0.271
2021-01-30,23,0.29
2021-01-31,0,0.405
2021-01-31,1,0.219
2021-01-31,2,0.237
2021-01-31,3,0.29
2021-01-31,4,0.3
2021-01-31,5,0.265
2021-01-31,6,0.182
2021-01-31,7,0.314
2021-01-31,8,0.532
